baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (43ab429af4c39560, 391 from 1994-03-01)
168 IDENTICAL  0 NUMERICAL  219 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section   row  field               baseline                                 this run                     difference
-----  --------  ---  ------------------  ---------------------------------------  ---------------------------  ----------
MOVED  horizons  120  failing_gates       skill, calibration, robustness, honesty  skill, calibration, honesty
MOVED  run            configuration_hash  ad7fcc1affd0746a                         43ab429af4c39560

numeric fields, largest difference first:
band   section     row                                                               field                       baseline         this run          difference
-----  ----------  ----------------------------------------------------------------  --------------------------  ---------------  ----------------  ----------
MOVED  indicators  economy_in_recession_within_horizon @ 120                         brier_skill_score           -2.648516962     -0.6529029009     +1.996e+00
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                brier_skill_score           -0.9741005404    -0.4097958708     +5.643e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 120         logarithmic_loss            0.6265955112     1.046568151       +4.200e-01
MOVED  horizons    120                                                               skill_lower_bound           -0.4223829562    -0.09507666553    +3.273e-01
MOVED  horizons    120                                                               mean_brier_skill_score      -0.3527690973    -0.07486183708    +2.779e-01
MOVED  indicators  economy_in_recession_within_horizon @ 60                          brier_skill_score           -0.1265850748    0.1166163371      +2.432e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 120         brier_skill_score           0.6535714237     0.411436187       -2.421e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 brier_skill_score           -0.3575585667    -0.1260185287     +2.315e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          logarithmic_loss            0.7588601618     0.978424325       +2.196e-01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            logarithmic_loss            0.852763111      1.070248888       +2.175e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 120         expected_calibration_error  0.3975937546     0.6112902744      +2.137e-01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  brier_skill_score           -0.3448237994    -0.1468767943     +1.979e-01
MOVED  indicators  economy_in_recession_within_horizon @ 60                          logarithmic_loss            0.9869956128     0.8029493848      -1.840e-01
MOVED  indicators  economy_in_recession_within_horizon @ 60                          expected_calibration_error  0.3512103769     0.1753700632      -1.758e-01
MOVED  horizons    60                                                                skill_lower_bound           -0.199315615     -0.02682656004    +1.725e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                logarithmic_loss            0.6987501187     0.5296319335      -1.691e-01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            brier_skill_score           0.3991804309     0.2324969273      -1.667e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 120         brier_score                 0.2374744276     0.4034564818      +1.660e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 120         reliability                 0.2370289829     0.4029917738      +1.660e-01
MOVED  indicators  economy_in_recession_within_horizon @ 120                         expected_calibration_error  0.302086575      0.1369815089      -1.651e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          expected_calibration_error  0.3149900297     0.4779700473      +1.630e-01
MOVED  indicators  economy_in_recession_within_horizon @ 120                         logarithmic_loss            0.4604341833     0.2988024088      -1.616e-01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  logarithmic_loss            0.9238548529     0.7715803739      -1.523e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 logarithmic_loss            0.9281822392     0.7776008757      -1.506e-01
