baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (9632ee1193541d34, 391 from 1994-03-01)
109 IDENTICAL  0 NUMERICAL  278 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section  row  field               baseline          this run          difference
-----  -------  ---  ------------------  ----------------  ----------------  ----------
MOVED  run           configuration_hash  ad7fcc1affd0746a  9632ee1193541d34
MOVED  run           state_count         6                 4

numeric fields, largest difference first:
band   section     row                                                               field                        baseline         this run         difference
-----  ----------  ----------------------------------------------------------------  ---------------------------  ---------------  ---------------  ----------
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   mean_effective_sample_size   118.363051       213.5661725      +9.520e+01
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         mean_effective_sample_size   118.363051       213.5661725      +9.520e+01
MOVED  indicators  economy_in_recession_within_horizon @ 12                          mean_effective_sample_size   112.513507       205.992976       +9.348e+01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 mean_effective_sample_size   118.797428       210.5522008      +9.175e+01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          mean_effective_sample_size   116.1203353      206.1783614      +9.006e+01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   mean_effective_sample_size   113.9944458      203.707907       +8.971e+01
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         mean_effective_sample_size   113.9944458      203.707907       +8.971e+01
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      mean_effective_sample_size   121.505277       211.0757115      +8.957e+01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              mean_effective_sample_size   121.6579949      211.1363318      +8.948e+01
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    mean_effective_sample_size   121.6305147      211.1047759      +8.947e+01
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         mean_effective_sample_size   115.0613843      204.1552602      +8.909e+01
MOVED  indicators  economy_in_recession_within_horizon @ 60                          mean_effective_sample_size   108.7289606      197.1449566      +8.842e+01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  mean_effective_sample_size   102.8454896      191.2314663      +8.839e+01
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 120        mean_effective_sample_size   102.8454896      191.2314663      +8.839e+01
MOVED  indicators  economy_in_recession_within_horizon @ 120                         mean_effective_sample_size   98.07781672      185.846204       +8.777e+01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 mean_effective_sample_size   113.070165       200.3172468      +8.725e+01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                mean_effective_sample_size   102.0838706      188.3676082      +8.628e+01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             mean_effective_sample_size   117.1119953      203.2545203      +8.614e+01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          mean_effective_sample_size   110.3931124      196.2060345      +8.581e+01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 120         mean_effective_sample_size   99.37747553      184.006419       +8.463e+01
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 60      mean_effective_sample_size   118.6537799      191.8486527      +7.319e+01
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 60    mean_effective_sample_size   118.8071212      192.0018043      +7.319e+01
