baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (7239dd930035d4f8, 391 from 1994-03-01)
110 IDENTICAL  0 NUMERICAL  277 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
1 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section  row  field               baseline          this run          difference
-----  -------  ---  ------------------  ----------------  ----------------  ----------
MOVED  run           configuration_hash  ad7fcc1affd0746a  7239dd930035d4f8

numeric fields, largest difference first:
band   section     row                                                               field                        baseline         this run          difference
-----  ----------  ----------------------------------------------------------------  ---------------------------  ---------------  ----------------  ----------
MOVED  indicators  economy_in_recession_at_horizon_date @ 120                        mean_effective_sample_size   106.893768       112.3913103       +5.498e+00
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  mean_effective_sample_size   102.8454896      107.5670972       +4.722e+00
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 120        mean_effective_sample_size   102.8454896      107.5670972       +4.722e+00
MOVED  indicators  economy_in_recession_within_horizon @ 120                         mean_effective_sample_size   98.07781672      102.4527106       +4.375e+00
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 120     mean_effective_sample_size   110.1337847      114.5025389       +4.369e+00
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 120   mean_effective_sample_size   110.2235915      114.5693884       +4.346e+00
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             mean_effective_sample_size   110.323072       114.654794        +4.332e+00
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            mean_effective_sample_size   103.4692353      107.1891084       +3.720e+00
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                mean_effective_sample_size   102.0838706      105.6316934       +3.548e+00
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 120         mean_effective_sample_size   99.37747553      102.8819371       +3.504e+00
MOVED  indicators  economy_in_recession_at_horizon_date @ 60                         mean_effective_sample_size   114.8369173      116.9362193       +2.099e+00
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   mean_effective_sample_size   113.9944458      115.6086654       +1.614e+00
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         mean_effective_sample_size   113.9944458      115.6086654       +1.614e+00
MOVED  indicators  economy_in_recession_within_horizon @ 60                          mean_effective_sample_size   108.7289606      110.2718366       +1.543e+00
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 60      mean_effective_sample_size   118.6537799      119.8441958       +1.190e+00
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          mean_effective_sample_size   110.3931124      111.5735445       +1.180e+00
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 60    mean_effective_sample_size   118.8071212      119.9701302       +1.163e+00
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              mean_effective_sample_size   118.7837932      119.9282397       +1.144e+00
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 mean_effective_sample_size   113.070165       114.2042904       +1.134e+00
MOVED  indicators  economy_in_recession_within_horizon @ 120                         brier_skill_score            -2.648516962     -1.777797066      +8.707e-01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             mean_effective_sample_size   112.5279309      113.1509802       +6.230e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                brier_skill_score            -0.9741005404    -0.3841068506     +5.900e-01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   mean_effective_sample_size   118.363051       118.9509778       +5.879e-01
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         mean_effective_sample_size   118.363051       118.9509778       +5.879e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          mean_effective_sample_size   116.1203353      116.66309         +5.428e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 mean_effective_sample_size   118.797428       119.323689        +5.263e-01
MOVED  indicators  economy_in_recession_within_horizon @ 12                          mean_effective_sample_size   112.513507       112.9891586       +4.757e-01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             mean_effective_sample_size   117.1119953      116.7651451       -3.469e-01
MOVED  indicators  economy_in_recession_at_horizon_date @ 120                        area_under_the_curve         0.277            0.5686            +2.916e-01
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    mean_effective_sample_size   121.6305147      121.4171021       -2.134e-01
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      mean_effective_sample_size   121.505277       121.296978        -2.083e-01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              mean_effective_sample_size   121.6579949      121.4609834       -1.970e-01
MOVED  indicators  economy_in_recession_at_horizon_date @ 60                         area_under_the_curve         0.441166036      0.6316225166      +1.905e-01
MOVED  horizons    120                                                               mean_brier_skill_score       -0.3527690973    -0.1623158955     +1.905e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 area_under_the_curve         0.4928627257     0.3026862479      -1.902e-01
MOVED  horizons    120                                                               skill_lower_bound            -0.4223829562    -0.2373657182     +1.850e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                logarithmic_loss             0.6987501187     0.5447109636      -1.540e-01
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         brier_skill_score            0.07369374545    -0.04349204574    -1.172e-01
MOVED  horizons    120                                                               skill_upper_bound            -0.12151414      -0.008736682084   +1.128e-01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  brier_skill_score            -0.3448237994    -0.2394625647     +1.054e-01
MOVED  indicators  economy_in_recession_within_horizon @ 60                          area_under_the_curve         0.2900878049     0.187395122       -1.027e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          logarithmic_loss             0.7588601618     0.6651902862      -9.367e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          logarithmic_loss             0.5218899575     0.4291628033      -9.273e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             logarithmic_loss             0.898914978      0.808719042       -9.020e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          area_under_the_curve         0.7379988433     0.8235974552      +8.560e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   expected_calibration_error   0.2450863016     0.3300537308      +8.497e-02
MOVED  indicators  economy_in_recession_within_horizon @ 60                          expected_calibration_error   0.3512103769     0.4356667318      +8.446e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   area_under_the_curve         0.3219348741     0.2379499957      -8.398e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         area_under_the_curve         0.4843699775     0.4012375442      -8.313e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         mean_effective_sample_size   115.0613843      114.980211        -8.117e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 area_under_the_curve         0.5895408939     0.6698084524      +8.027e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             brier_skill_score            0.323015877      0.2448900697      -7.813e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         logarithmic_loss             0.7213919944     0.794331737       +7.294e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         expected_calibration_error   0.2229308879     0.2952013141      +7.227e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             brier_skill_score            0.02440902152    0.0964492017      +7.204e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              logarithmic_loss             0.87332964       0.8017552745      -7.157e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                expected_calibration_error   0.3930489945     0.3224412013      -7.061e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                brier_score                  0.2352165227     0.1649180443      -7.030e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          area_under_the_curve         0.8174420259     0.8865272443      +6.909e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 logarithmic_loss             0.6100197147     0.542090272       -6.793e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             logarithmic_loss             0.7201809581     0.7872533958      +6.707e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         reliability                  0.08907028839    0.1559678897      +6.690e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                reliability                  0.1808590879     0.1143232895      -6.654e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   mean_distance_to_stationary  0.4172544946     0.4812375019      +6.398e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         mean_distance_to_stationary  0.4172544946     0.4812375019      +6.398e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      mean_distance_to_stationary  0.4173222227     0.4804657456      +6.314e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          brier_skill_score            0.4812249314     0.5443380687      +6.311e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              mean_distance_to_stationary  0.4173439658     0.4804380113      +6.309e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    mean_distance_to_stationary  0.4173126736     0.4803140296      +6.300e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         mean_distance_to_stationary  0.4173343844     0.48028677        +6.295e-02
MOVED  indicators  economy_in_recession_within_horizon @ 12                          mean_distance_to_stationary  0.4173343844     0.48028677        +6.295e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             mean_distance_to_stationary  0.4173343844     0.48028677        +6.295e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          mean_distance_to_stationary  0.4173343844     0.48028677        +6.295e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 mean_distance_to_stationary  0.4173343844     0.48028677        +6.295e-02
MOVED  indicators  economy_in_recession_within_horizon @ 120                         logarithmic_loss             0.4604341833     0.3976917212      -6.274e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   brier_skill_score            0.01818315012    -0.04218080066    -6.036e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            expected_calibration_error   0.3507726253     0.4078093519      +5.704e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            logarithmic_loss             0.852763111      0.9093685196      +5.661e-02
MOVED  indicators  economy_in_recession_within_horizon @ 60                          resolution                   0.048866714      0.1041059447      +5.524e-02
MOVED  horizons    60                                                                skill_lower_bound            -0.199315615     -0.1458524988     +5.346e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 60      expected_calibration_error   0.1755058483     0.2288229009      +5.332e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 60      brier_skill_score            0.06676813621    0.01379048418     -5.298e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 120                        brier_skill_score            0.364888451      0.4177504926      +5.286e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              brier_skill_score            -0.04592440361   0.005738978173    +5.166e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    area_under_the_curve         0.4222860684     0.3723733874      -4.991e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 60    area_under_the_curve         0.5467406743     0.5962846677      +4.954e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 brier_skill_score            -0.3575585667    -0.3082233074     +4.934e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            area_under_the_curve         0.3188492063     0.3680952381      +4.925e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            reliability                  0.1632338683     0.2115908759      +4.836e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            brier_skill_score            0.3991804309     0.3508563534      -4.832e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          expected_calibration_error   0.1390335382     0.09123829373     -4.780e-02
MOVED  indicators  economy_in_recession_within_horizon @ 12                          area_under_the_curve         0.4705745462     0.424160935       -4.641e-02
MOVED  indicators  economy_in_recession_within_horizon @ 120                         expected_calibration_error   0.302086575      0.2577683536      -4.432e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 60                         brier_skill_score            0.3265954045     0.3709114624      +4.432e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 120   brier_skill_score            -0.0448281319    -0.0007470355326  +4.408e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              reliability                  0.09785603989    0.0546721089      -4.318e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             expected_calibration_error   0.2813875364     0.3241725177      +4.278e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 120   expected_calibration_error   0.2372276057     0.1944543109      -4.277e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  logarithmic_loss             0.9238548529     0.8811000869      -4.275e-02
MOVED  horizons    60                                                                skill_upper_bound            0.2180460641     0.1753068311      -4.274e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             area_under_the_curve         0.6253315043     0.6673677793      +4.204e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             brier_skill_score            0.1408977835     0.1827194303      +4.182e-02
MOVED  indicators  economy_in_recession_within_horizon @ 60                          reliability                  0.1689694922     0.2100077398      +4.104e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   logarithmic_loss             0.8220522359     0.8630646162      +4.101e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 brier_skill_score            0.122152147      0.1627696603      +4.062e-02
