baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (fec79a040f9ca6f9, 391 from 1994-03-01)
106 IDENTICAL  0 NUMERICAL  281 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
5 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section   row  field               baseline                                 this run                     difference
-----  --------  ---  ------------------  ---------------------------------------  ---------------------------  ----------
MOVED  horizons  12   failing_gates       calibration                              none
MOVED  horizons  12   verdict             SHIP BASE RATE                           SHIP MODEL
MOVED  horizons  120  failing_gates       skill, calibration, robustness, honesty  skill, calibration, honesty
MOVED  run            configuration_hash  ad7fcc1affd0746a                         fec79a040f9ca6f9
MOVED  run            state_count         6                                        16

numeric fields, largest difference first:
band   section     row                                                               field                        baseline         this run          difference
-----  ----------  ----------------------------------------------------------------  ---------------------------  ---------------  ----------------  ----------
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              mean_effective_sample_size   121.6579949      46.61403618       -7.504e+01
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    mean_effective_sample_size   121.6305147      46.62319725       -7.501e+01
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      mean_effective_sample_size   121.505277       46.58413289       -7.492e+01
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 60    mean_effective_sample_size   118.8071212      46.56085049       -7.225e+01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              mean_effective_sample_size   118.7837932      46.57927897       -7.220e+01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             mean_effective_sample_size   117.1119953      44.92560478       -7.219e+01
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 60      mean_effective_sample_size   118.6537799      46.53127229       -7.212e+01
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         mean_effective_sample_size   115.0613843      44.01074849       -7.105e+01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 mean_effective_sample_size   118.797428       47.81689011       -7.098e+01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   mean_effective_sample_size   118.363051       47.78153427       -7.058e+01
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         mean_effective_sample_size   118.363051       47.78153427       -7.058e+01
MOVED  indicators  economy_in_recession_at_horizon_date @ 60                         mean_effective_sample_size   114.8369173      45.14188275       -6.970e+01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          mean_effective_sample_size   116.1203353      46.62720194       -6.949e+01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             mean_effective_sample_size   112.5279309      44.35990532       -6.817e+01
MOVED  indicators  economy_in_recession_within_horizon @ 12                          mean_effective_sample_size   112.513507       44.47227478       -6.804e+01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   mean_effective_sample_size   113.9944458      47.22940291       -6.677e+01
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         mean_effective_sample_size   113.9944458      47.22940291       -6.677e+01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 mean_effective_sample_size   113.070165       47.05297373       -6.602e+01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             mean_effective_sample_size   110.323072       44.55135974       -6.577e+01
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 120   mean_effective_sample_size   110.2235915      44.53495909       -6.569e+01
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 120     mean_effective_sample_size   110.1337847      44.51064098       -6.562e+01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          mean_effective_sample_size   110.3931124      45.87677576       -6.452e+01
MOVED  indicators  economy_in_recession_within_horizon @ 60                          mean_effective_sample_size   108.7289606      44.39501655       -6.433e+01
MOVED  indicators  economy_in_recession_at_horizon_date @ 120                        mean_effective_sample_size   106.893768       43.39134421       -6.350e+01
